product_sku_code,customer,year,yearweek,nielsen_total_volume,promotion_indicator,top_brand,flavor_internal,pack_type_internal,pack_size_internal,units_per_package_internal,material_medium_description,price_per_item,price_per_litre,price_per_100ml,week,week_sin,week_cos,continuous_week
207883,L2_MORRISONS,2025,202524,456,1,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.5138,3.425333333,0.342533333,24,0.239315664,-0.970941817,127
414197,L2_MORRISONS,2025,202525,3971,1,FANTA,ORANGE,CAN,330,8,330MLCAN 3X8P FANTA ORG,3.6355,1.377083333,0.137708333,25,0.12053668,-0.992708874,128
452780,L2_ASDA,2025,202521,4435,1,MONSTER,NOT STATED,CAN,500,4,500MLCAN 6X4P MN ULTRA,5.0474,2.5237,0.25237,21,0.568064747,-0.822983866,124
409690,L2_TESCO,2025,202524,16992,1,SPRITE ZERO / NO SUGAR / DIET / LIGHT,LEMON & LIME,CAN,330,8,330MLCAN 3X8P SPRITE NO SUGAR,3.5403,1.341022727,0.134102273,24,0.239315664,-0.970941817,127
283978,L2_MORRISONS,2025,202521,24829,1,COCA-COLA,COLA,PET,1750,1,1.75LNRP X6 COCA-COLA,2.5959,1.483371429,0.148337143,21,0.568064747,-0.822983866,124
407265,L2_SAINSBURY'S,2025,202521,435,1,COCA-COLA LIGHT / DIET COKE,COLA,CAN,150,1,150MLCAN X24 DIET COKE,0.5422,3.614666667,0.361466667,21,0.568064747,-0.822983866,124
283971,L2_SAINSBURY'S,2025,202522,2419,0,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.653,1.516,0.1516,22,0.464723172,-0.885456026,125
408320,L2_CRTG,2025,202524,7746,0,SCHWEPPES,LEMON,PET,2000,1,2LNRP X6 SW LEMONADE,1.7579,0.87895,0.087895,24,0.239315664,-0.970941817,127
414198,L2_ASDA,2025,202523,6198,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,2.1599,1.07995,0.107995,23,0.354604887,-0.935016243,126
414198,L2_CRTG,2025,202523,5591,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,1.8813,0.94065,0.094065,23,0.354604887,-0.935016243,126
283971,L2_ASDA,2025,202524,4473,0,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.5979,1.484514286,0.148451429,24,0.239315664,-0.970941817,127
283971,L2_TESCO,2025,202524,5969,0,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.5324,1.447085714,0.144708571,24,0.239315664,-0.970941817,127
429221,L2_ASDA,2025,202521,740,1,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.7947,1.7947,0.17947,21,0.568064747,-0.822983866,124
409690,L2_CRTG,2025,202521,2322,0,SPRITE ZERO / NO SUGAR / DIET / LIGHT,LEMON & LIME,CAN,330,8,330MLCAN 3X8P SPRITE NO SUGAR,3.7379,1.415871212,0.141587121,21,0.568064747,-0.822983866,124
414197,L2_TESCO,2025,202524,4456,1,FANTA,ORANGE,CAN,330,8,330MLCAN 3X8P FANTA ORG,3.9305,1.488825758,0.148882576,24,0.239315664,-0.970941817,127
452780,L2_CRTG,2025,202522,2865,0,MONSTER,NOT STATED,CAN,500,4,500MLCAN 6X4P MN ULTRA,6.1635,3.08175,0.308175,22,0.464723172,-0.885456026,125
207883,L2_CRTG,2025,202524,960,1,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.608,4.053333333,0.405333333,24,0.239315664,-0.970941817,127
414198,L2_TESCO,2025,202521,13973,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,1.743,0.8715,0.08715,21,0.568064747,-0.822983866,124
283971,L2_MORRISONS,2025,202522,3129,1,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.7036,1.544914286,0.154491429,22,0.464723172,-0.885456026,125
414198,L2_ASDA,2025,202522,6718,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,2.1286,1.0643,0.10643,22,0.464723172,-0.885456026,125
283971,L2_CRTG,2025,202524,2204,1,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.5555,1.460285714,0.146028571,24,0.239315664,-0.970941817,127
429221,L2_MORRISONS,2025,202524,847,1,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.8427,1.8427,0.18427,24,0.239315664,-0.970941817,127
452780,L2_TESCO,2025,202522,8459,0,MONSTER,NOT STATED,CAN,500,4,500MLCAN 6X4P MN ULTRA,5.6309,2.81545,0.281545,22,0.464723172,-0.885456026,125
283978,L2_CRTG,2025,202523,23820,1,COCA-COLA,COLA,PET,1750,1,1.75LNRP X6 COCA-COLA,2.4999,1.428514286,0.142851429,23,0.354604887,-0.935016243,126
452780,L2_MORRISONS,2025,202541,2096,1,MONSTER,NOT STATED,CAN,500,4,500MLCAN 6X4P MN ULTRA,4.9463,2.47315,0.247315,41,-0.970941817,0.239315664,144
207883,L2_SAINSBURY'S,2025,202540,565,1,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.5369,3.579333333,0.357933333,40,-0.992708874,0.12053668,143
414197,L2_SAINSBURY'S,2025,202541,4217,1,FANTA,ORANGE,CAN,330,8,330MLCAN 3X8P FANTA ORG,3.6063,1.366022727,0.136602273,41,-0.970941817,0.239315664,144
452780,L2_MORRISONS,2025,202542,2743,1,MONSTER,NOT STATED,CAN,500,4,500MLCAN 6X4P MN ULTRA,5.2711,2.63555,0.263555,42,-0.935016243,0.354604887,145
283971,L2_ASDA,2025,202540,5694,1,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.0092,1.148114286,0.114811429,40,-0.992708874,0.12053668,143
283978,L2_CRTG,2025,202540,24383,0,COCA-COLA,COLA,PET,1750,1,1.75LNRP X6 COCA-COLA,2.385,1.362857143,0.136285714,40,-0.992708874,0.12053668,143
207883,L2_MORRISONS,2025,202540,228,1,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.6501,4.334,0.4334,40,-0.992708874,0.12053668,143
452780,L2_TESCO,2025,202540,6678,0,MONSTER,NOT STATED,CAN,500,4,500MLCAN 6X4P MN ULTRA,5.6558,2.8279,0.28279,40,-0.992708874,0.12053668,143
408320,L2_MORRISONS,2025,202539,4926,1,SCHWEPPES,LEMON,PET,2000,1,2LNRP X6 SW LEMONADE,1.5598,0.7799,0.07799,39,-1.0,-1.84e-16,142
283971,L2_SAINSBURY'S,2025,202540,2385,0,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.6429,1.510228571,0.151022857,40,-0.992708874,0.12053668,143
407265,L2_CRTG,2025,202543,376,1,COCA-COLA LIGHT / DIET COKE,COLA,CAN,150,1,150MLCAN X24 DIET COKE,0.637,4.246666667,0.424666667,43,-0.885456026,0.464723172,146
409690,L2_ASDA,2025,202536,3986,1,SPRITE ZERO / NO SUGAR / DIET / LIGHT,LEMON & LIME,CAN,330,8,330MLCAN 3X8P SPRITE NO SUGAR,3.4801,1.318219697,0.13182197,36,-0.935016243,-0.354604887,139
414197,L2_TESCO,2025,202537,6696,1,FANTA,ORANGE,CAN,330,8,330MLCAN 3X8P FANTA ORG,3.7355,1.414962121,0.141496212,37,-0.970941817,-0.239315664,140
283971,L2_MORRISONS,2025,202536,2864,1,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.7012,1.543542857,0.154354286,36,-0.935016243,-0.354604887,139
283971,L2_MORRISONS,2025,202539,2767,1,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.6052,1.488685714,0.148868571,39,-1.0,-1.84e-16,142
429221,L2_CRTG,2025,202537,428,0,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.9415,1.9415,0.19415,37,-0.970941817,-0.239315664,140
283971,L2_CRTG,2025,202539,2047,0,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.5983,1.484742857,0.148474286,39,-1.0,-1.84e-16,142
414197,L2_SAINSBURY'S,2025,202515,3448,1,FANTA,ORANGE,CAN,330,8,330MLCAN 3X8P FANTA ORG,3.8401,1.454583333,0.145458333,15,0.970941817,-0.239315664,118
409690,L2_MORRISONS,2025,202513,2691,0,SPRITE ZERO / NO SUGAR / DIET / LIGHT,LEMON & LIME,CAN,330,8,330MLCAN 3X8P SPRITE NO SUGAR,3.7901,1.435643939,0.143564394,13,1.0,-1.61e-16,116
414197,L2_CRTG,2025,202514,5958,0,FANTA,ORANGE,CAN,330,8,330MLCAN 3X8P FANTA ORG,3.7421,1.417462121,0.141746212,14,0.992708874,-0.12053668,117
452780,L2_ASDA,2025,202512,3451,0,MONSTER,NOT STATED,CAN,500,4,500MLCAN 6X4P MN ULTRA,5.4502,2.7251,0.27251,12,0.992708874,0.12053668,115
408320,L2_MORRISONS,2025,202512,6807,0,SCHWEPPES,LEMON,PET,2000,1,2LNRP X6 SW LEMONADE,1.3527,0.67635,0.067635,12,0.992708874,0.12053668,115
452780,L2_MORRISONS,2025,202511,2135,1,MONSTER,NOT STATED,CAN,500,4,500MLCAN 6X4P MN ULTRA,5.1335,2.56675,0.256675,11,0.970941817,0.239315664,114
407265,L2_ASDA,2025,202517,810,1,COCA-COLA LIGHT / DIET COKE,COLA,CAN,150,1,150MLCAN X24 DIET COKE,0.5208,3.472,0.3472,17,0.885456026,-0.464723172,120
414198,L2_TESCO,2025,202518,14975,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,1.7478,0.8739,0.08739,18,0.822983866,-0.568064747,121
207883,L2_ASDA,2025,202517,1186,1,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.52,3.466666667,0.346666667,17,0.885456026,-0.464723172,120
452780,L2_SAINSBURY'S,2025,202519,3480,0,MONSTER,NOT STATED,CAN,500,4,500MLCAN 6X4P MN ULTRA,6.3118,3.1559,0.31559,19,0.748510748,-0.663122658,122
207883,L2_MORRISONS,2025,202520,507,1,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.5149,3.432666667,0.343266667,20,0.663122658,-0.748510748,123
414198,L2_SAINSBURY'S,2025,202520,4021,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,1.7353,0.86765,0.086765,20,0.663122658,-0.748510748,123
207883,L2_SAINSBURY'S,2025,202516,566,0,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.6494,4.329333333,0.432933333,16,0.935016243,-0.354604887,119
407265,L2_MORRISONS,2025,202517,163,1,COCA-COLA LIGHT / DIET COKE,COLA,CAN,150,1,150MLCAN X24 DIET COKE,0.5358,3.572,0.3572,17,0.885456026,-0.464723172,120
414197,L2_SAINSBURY'S,2025,202517,3094,1,FANTA,ORANGE,CAN,330,8,330MLCAN 3X8P FANTA ORG,3.7722,1.428863636,0.142886364,17,0.885456026,-0.464723172,120
408320,L2_CRTG,2025,202517,8291,0,SCHWEPPES,LEMON,PET,2000,1,2LNRP X6 SW LEMONADE,1.7576,0.8788,0.08788,17,0.885456026,-0.464723172,120
429221,L2_MORRISONS,2025,202518,1723,1,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.3427,1.3427,0.13427,18,0.822983866,-0.568064747,121
414198,L2_ASDA,2025,202519,6898,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,2.1022,1.0511,0.10511,19,0.748510748,-0.663122658,122
429221,L2_TESCO,2025,202519,3095,1,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.4261,1.4261,0.14261,19,0.748510748,-0.663122658,122
407265,L2_CRTG,2025,202528,553,1,COCA-COLA LIGHT / DIET COKE,COLA,CAN,150,1,150MLCAN X24 DIET COKE,0.5753,3.835333333,0.383533333,28,-0.239315664,-0.970941817,131
414198,L2_TESCO,2025,202525,16669,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,1.7606,0.8803,0.08803,25,0.12053668,-0.992708874,128
452780,L2_ASDA,2025,202527,4303,0,MONSTER,NOT STATED,CAN,500,4,500MLCAN 6X4P MN ULTRA,5.4225,2.71125,0.271125,27,-0.12053668,-0.992708874,130
429221,L2_TESCO,2025,202532,2512,0,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.8506,1.8506,0.18506,32,-0.663122658,-0.748510748,135
429221,L2_ASDA,2025,202533,906,0,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.7151,1.7151,0.17151,33,-0.748510748,-0.663122658,136
283978,L2_SAINSBURY'S,2025,202535,37575,1,COCA-COLA,COLA,PET,1750,1,1.75LNRP X6 COCA-COLA,2.292,1.309714286,0.130971429,35,-0.885456026,-0.464723172,138
283978,L2_TESCO,2025,202513,75376,0,COCA-COLA,COLA,PET,1750,1,1.75LNRP X6 COCA-COLA,2.4957,1.426114286,0.142611429,13,1.0,-1.61e-16,116
283978,L2_SAINSBURY'S,2025,202528,35697,1,COCA-COLA,COLA,PET,1750,1,1.75LNRP X6 COCA-COLA,2.4802,1.417257143,0.141725714,28,-0.239315664,-0.970941817,131
